Time,Data
2023-09-26T23:06:00,0.9374
2023-09-26T23:08:00,0.9503
2023-09-26T23:10:00,-0.0406
2023-09-26T23:12:00,0.9643
2023-09-26T23:14:00,1.394
2023-09-26T23:16:00,0.496
2023-09-26T23:18:00,-0.193
2023-09-26T23:20:00,0.098
2023-09-26T23:22:00,0.591
2023-09-26T23:24:00,1.04
2023-09-26T23:26:00,-0.434
2023-09-26T23:28:00,-0.252
2023-09-26T23:30:00,0.0463
2023-09-26T23:32:00,-0.607
2023-09-26T23:34:00,-0.913
2023-09-26T23:36:00,-1.14
2023-09-26T23:38:00,-1.062
2023-09-26T23:40:00,0.91
2023-09-26T23:42:00,-0.855
2023-09-26T23:44:00,-0.553
2023-09-26T23:46:00,-0.822
2023-09-26T23:48:00,-0.0232
2023-09-26T23:50:00,0.1383
2023-09-26T23:52:00,0.707
2023-09-26T23:54:00,0.915
2023-09-26T23:56:00,0.1043
2023-09-26T23:58:00,-0.0199
2023-09-27T00:00:00,0.936
2023-09-27T00:02:00,0.186
2023-09-27T00:04:00,0.00963
2023-09-27T00:06:00,-0.206
2023-09-27T00:08:00,-0.03474
2023-09-27T00:10:00,-0.3002
2023-09-27T00:12:00,0.2253
2023-09-27T00:14:00,0.152
2023-09-27T00:16:00,-0.1781
2023-09-27T00:18:00,0.463
2023-09-27T00:20:00,-0.169
2023-09-27T00:22:00,0.141
2023-09-27T00:24:00,0.03421
2023-09-27T00:26:00,0.792
2023-09-27T00:28:00,-1.2
2023-09-27T00:30:00,-0.913
2023-09-27T00:32:00,0.6942
2023-09-27T00:34:00,-0.339
2023-09-27T00:36:00,0.766
2023-09-27T00:38:00,0.71
2023-09-27T00:40:00,0.865
2023-09-27T00:42:00,0.366
2023-09-27T00:44:00,0.4711
2023-09-27T00:46:00,-0.581
2023-09-27T00:48:00,0.671
2023-09-27T00:50:00,0.5243
2023-09-27T00:52:00,-0.6884
2023-09-27T00:54:00,1.323
2023-09-27T00:56:00,-0.2792
2023-09-27T00:58:00,-0.3911
2023-09-27T01:00:00,-0.0541
2023-09-27T01:02:00,0.2591
2023-09-27T01:04:00,0.4534
2023-09-27T01:06:00,-0.532
2023-09-27T01:08:00,-0.0741
2023-09-27T01:10:00,-0.2
2023-09-27T01:12:00,-0.927
2023-09-27T01:14:00,0.2702
2023-09-27T01:16:00,-0.1712
2023-09-27T01:18:00,-1.072
2023-09-27T01:20:00,-0.78
2023-09-27T01:22:00,-0.888
2023-09-27T01:24:00,-1.022
2023-09-27T01:26:00,-0.0929
